,fine,Moran's I,P-value,num_cell,month,sample,structure,celltype
0,Astro-2,0.1573621426643933,0.0014959833281671,498,2M,HZ2M01,BF,Astro
1,InN-Erbb4,0.1298295372717081,0.021897213010319,418,2M,HZ2M01,BF,InN
2,InN-Calb2,0.1159231415101724,5.078902908956126e-33,4659,2M,HZ2M01,BF,InN
3,ExN-DEGLU-1,0.0985115502482642,1.3701728097166164e-05,1680,2M,HZ2M01,BF,ExN
4,Olig-2,0.0871668815330771,0.0094640408200774,1218,2M,HZ2M01,BF,Olig
5,Peri,0.0676766213727147,0.0235113548904493,1445,2M,HZ2M01,BF,Peri
6,Astro-3,0.6165928392630169,0.0010225404238863,90,2M,HZ2M01,PFC,Astro
7,Astro-6,0.5320167819950692,0.026765824660691,24,2M,HZ2M01,PFC,Astro
8,ExN-L6b,0.4576247237509044,0.0001745096392417,136,2M,HZ2M01,PFC,ExN
9,ExN-CA1,0.4414344337609611,0.0040791192930804,236,2M,HZ2M01,PFC,ExN
10,InN-Sncg,0.4066340632531665,0.0478577148717599,129,2M,HZ2M01,PFC,InN
11,Astro-4,0.3475147938096256,0.0001443839497124,187,2M,HZ2M01,PFC,Astro
12,Olig-3,0.2725502219245364,0.0001354064249823,220,2M,HZ2M01,PFC,Olig
13,InN-Sst,0.2537253414108281,0.0002748068413216,410,2M,HZ2M01,PFC,InN
14,Peri,0.2368098804909657,0.0210845186402225,149,2M,HZ2M01,PFC,Peri
15,Astro-2,0.1718428239608156,0.0006826316739347,352,2M,HZ2M01,PFC,Astro
16,ExN-L6-CT,0.098258669609478,1.1989197098456129e-05,1422,2M,HZ2M01,PFC,ExN
17,ExN-L5-ET,0.0769275615266715,0.0002792225480159,1690,2M,HZ2M01,PFC,ExN
18,ExN-L2/3-IT,0.0768963622522829,0.0018229106438458,1223,2M,HZ2M01,PFC,ExN
19,ExN-L5-IT,0.0536578318316351,0.0016127314806952,2444,2M,HZ2M01,PFC,ExN
20,Olig-6,0.3831746969823065,0.0023912765681125,245,2M,HZ2M01,STR,Olig
21,SMC,0.3820648423907635,0.0193690625674343,111,2M,HZ2M01,STR,SMC
22,ExN-DEGLU-1,0.3582637157932747,8.98649486312078e-08,523,2M,HZ2M01,STR,ExN
23,ExN-DG,0.3079412401411027,0.0039529379725872,498,2M,HZ2M01,STR,ExN
24,Astro-2,0.2981852110504698,1.903675608870632e-17,993,2M,HZ2M01,STR,Astro
25,Astro-3,0.2926594209743944,1.3695232699435777e-12,970,2M,HZ2M01,STR,Astro
26,Micro-1,0.2761929771549979,0.0342932808443411,182,2M,HZ2M01,STR,Micro
27,InN-Sst,0.2457285221102099,0.0005116438509587,290,2M,HZ2M01,STR,InN
28,InN-Olf,0.190198446721795,2.4921245177151884e-27,2394,2M,HZ2M01,STR,InN
29,ExN-L6b,0.1901664391587455,8.337591024288789e-18,2547,2M,HZ2M01,STR,ExN
30,Olig-3,0.1852852157348597,0.0076719313712154,574,2M,HZ2M01,STR,Olig
31,Peri,0.1679840925445914,5.302759693094818e-06,1405,2M,HZ2M01,STR,Peri
32,MSN,0.1376685768754377,2.311989176691551e-74,9411,2M,HZ2M01,STR,MSN
33,Endo,0.1187503964794065,0.0002515390985166,1823,2M,HZ2M01,STR,Endo
34,Olig-4,0.1042812385824945,1.335774179681562e-09,3689,2M,HZ2M01,STR,Olig
35,Olig-2,0.0970586502435359,0.0005434504162869,1293,2M,HZ2M01,STR,Olig
36,Olig-6,0.7062191254898689,0.0001895948740345,160,2M,HZ2M02,BF,Olig
37,Endo,0.5457829463531445,0.0001662963096732,261,2M,HZ2M02,BF,Endo
38,OPC-2,0.510499622365822,6.540954552247981e-09,518,2M,HZ2M02,BF,OPC
39,ExN-DEGLU-2,0.4928032568559527,3.4283198813895315e-19,647,2M,HZ2M02,BF,ExN
40,Olig-4,0.4845999022458946,1.1729361383536262e-14,588,2M,HZ2M02,BF,Olig
41,InN-Calb2,0.4680511313691025,0.0,4023,2M,HZ2M02,BF,InN
42,Peri,0.4266670525274165,2.9110831619877743e-97,2636,2M,HZ2M02,BF,Peri
43,Astro-4,0.4205477419159041,0.0010829351358177,230,2M,HZ2M02,BF,Astro
44,Astro-2,0.3709316509696641,1.8836807569171895e-10,484,2M,HZ2M02,BF,Astro
45,Olig-3,0.3672328604864104,1.2079430436349232e-11,751,2M,HZ2M02,BF,Olig
46,ExN-DEGLU-1,0.3521683149340809,8.340977900373903e-07,310,2M,HZ2M02,BF,ExN
47,Micro-3,0.3065847831540712,0.0186997498105114,129,2M,HZ2M02,BF,Micro
48,Astro-3,0.2902555120143035,0.0001963523154022,373,2M,HZ2M02,BF,Astro
49,InN-Pvalb,0.2452377849816434,7.577119598705943e-06,365,2M,HZ2M02,BF,InN
50,Olig-2,0.2134364048045573,1.2176198302215183e-10,1416,2M,HZ2M02,BF,Olig
51,InN-Sncg,1.5093479586658654,0.0001438212612455,42,2M,HZ2M02,ECT,InN
52,ExN-Olf,0.2048540146920976,0.0023408653176525,293,2M,HZ2M02,ECT,ExN
53,ExN-CA2,0.1516989234247835,1.7854468902460627e-05,1083,2M,HZ2M02,HPF,ExN
54,Astro-2,0.1360664109855181,0.0489720234044138,431,2M,HZ2M02,HPF,Astro
55,ExN-CA3,0.0838084832220016,9.577020150624594e-06,1714,2M,HZ2M02,HPF,ExN
56,ExN-CA1,0.0470786121868303,0.0019609920998111,2453,2M,HZ2M02,HPF,ExN
57,ExN-DG,0.0405975355278934,0.0001948666746749,3856,2M,HZ2M02,HPF,ExN
58,Olig-1,-1.2225922535779066,0.0265506572493372,14,2M,HZ2M02,HPF,Olig
59,ExN-DEGLU-2,0.8221073694707391,0.0093748248080284,42,2M,HZ2M02,RS,ExN
60,ExN-L5-IT,0.2027839882115466,3.284607397226441e-12,1168,2M,HZ2M02,RS,ExN
61,ExN-L5-ET,0.1729071309552549,0.0001829656869337,511,2M,HZ2M02,RS,ExN
62,Astro-4,0.162732475084506,0.0314705937126976,279,2M,HZ2M02,RS,Astro
63,ExN-L2/3-IT,0.154007674422589,0.0100244855287536,355,2M,HZ2M02,RS,ExN
64,InN-Pvalb,0.0826213480955547,0.0028419206825058,1098,2M,HZ2M02,RS,InN
65,Micro-3,-1.399387913967991,0.007064849719627,16,2M,HZ2M02,RS,Micro
66,InN-Erbb4,0.5438640686291212,4.090463457229934e-09,373,2M,HZ2M02,TH,InN
67,InN-Olf,0.4265152134217945,0.0298416369623785,232,2M,HZ2M02,TH,InN
68,InN-Sncg,0.4041547407324186,0.0004906275066528,201,2M,HZ2M02,TH,InN
69,OPC-2,0.3793164287575903,0.0003995930442906,456,2M,HZ2M02,TH,OPC
70,Astro-4,0.2873803431967037,0.0002972677195012,400,2M,HZ2M02,TH,Astro
71,Peri,0.274830613008533,8.498285665967152e-26,2106,2M,HZ2M02,TH,Peri
72,Olig-5,0.2539944847472891,0.004497907587305,193,2M,HZ2M02,TH,Olig
73,InN-Calb2,0.2383044638300759,4.842441299071229e-52,3013,2M,HZ2M02,TH,InN
74,Endo,0.2333400719218192,0.0011964030437378,643,2M,HZ2M02,TH,Endo
75,ExN-DG,0.1777826790086504,0.0143875315935066,174,2M,HZ2M02,TH,ExN
76,ExN-DEGLU-2,0.1235237943709868,1.4001627001829332e-08,2335,2M,HZ2M02,TH,ExN
77,Olig-3,0.093686017505481,0.0451295506284682,916,2M,HZ2M02,TH,Olig
78,Astro-2,0.0810103782138138,0.0239073423982518,946,2M,HZ2M02,TH,Astro
79,ExN-DEGLU-1,0.0747617479827081,3.2902207269424353e-16,6965,2M,HZ2M02,TH,ExN
80,Olig-2,0.0559804072735055,0.0158207198465577,1976,2M,HZ2M02,TH,Olig
81,ExN-DEGLU-1,0.1451574533097448,7.864566313751757e-08,1478,2M,HZ2M03,BF,ExN
82,Olig-2,0.1377453380048487,3.68806366881284e-05,1393,2M,HZ2M03,BF,Olig
83,InN-Calb2,0.1192745766326502,7.708721831554501e-18,3349,2M,HZ2M03,BF,InN
84,Peri,0.1106058051734192,0.000340150128227,1645,2M,HZ2M03,BF,Peri
85,ExN-CA3,0.4365656405814404,8.379181841613704e-06,349,2M,HZ2M03,PFC,ExN
86,Peri,0.3649039284337909,0.0065100578950977,108,2M,HZ2M03,PFC,Peri
87,Astro-2,0.1807755485748713,0.001518018383314,305,2M,HZ2M03,PFC,Astro
88,Olig-2,0.1520238782948932,0.017628327851837,185,2M,HZ2M03,PFC,Olig
89,ExN-L2/3-IT,0.1180811320135882,0.0002130227504515,739,2M,HZ2M03,PFC,ExN
90,ExN-L5-IT,0.0775642598940477,2.7612827915089856e-06,2154,2M,HZ2M03,PFC,ExN
91,ExN-L5-ET,0.0725238572999658,0.0041812865460841,1163,2M,HZ2M03,PFC,ExN
92,ExN-L6-CT,0.0723580537827035,0.0012802846217358,1226,2M,HZ2M03,PFC,ExN
93,Astro-3,-0.5737746277391603,0.0275345707471426,55,2M,HZ2M03,PFC,Astro
94,ExN-CA3,0.542512139456218,7.070899656020706e-06,220,2M,HZ2M03,STR,ExN
95,InN-Olf,0.221628621926004,6.277763243509957e-34,2173,2M,HZ2M03,STR,InN
96,Peri,0.1896281404682276,3.543144685522908e-07,1168,2M,HZ2M03,STR,Peri
97,Micro-3,0.1328939028328392,0.0106644929426748,438,2M,HZ2M03,STR,Micro
98,Astro-2,0.1194708123268132,0.0002275580947204,956,2M,HZ2M03,STR,Astro
99,Astro-3,0.0884159436924084,0.0392112587252135,832,2M,HZ2M03,STR,Astro
100,Olig-2,0.0722641656434366,0.0063655843885016,1247,2M,HZ2M03,STR,Olig
101,ExN-L6b,0.0609817311058994,0.0001993842115485,3327,2M,HZ2M03,STR,ExN
102,MSN,0.0511575099559018,1.2179936122568669e-11,8449,2M,HZ2M03,STR,MSN
103,Astro-4,1.146990296433816,2.2179728602381158e-06,123,2M,HZ2M04,BF,Astro
104,SMC,0.8471594271574604,0.0017684796528202,58,2M,HZ2M04,BF,SMC
105,Astro-3,0.4131965686130813,5.010628389857127e-06,287,2M,HZ2M04,BF,Astro
106,Astro-1,0.303539162286462,0.0019319604382174,371,2M,HZ2M04,BF,Astro
107,Astro-6,0.2971293273200722,3.539266460277442e-05,228,2M,HZ2M04,BF,Astro
108,Endo,0.2842797031301549,0.0036400362147601,459,2M,HZ2M04,BF,Endo
109,Astro-2,0.2529250509128448,7.863599060765211e-07,518,2M,HZ2M04,BF,Astro
110,ExN-DEGLU-1,0.2416317608333403,0.0008888203575179,212,2M,HZ2M04,BF,ExN
111,InN-Calb2,0.2371900422882217,1.3792903128837318e-88,4389,2M,HZ2M04,BF,InN
112,Micro-3,0.2355120391397873,0.0122889058378976,165,2M,HZ2M04,BF,Micro
113,Peri,0.2343330924103477,2.058676899878576e-21,2030,2M,HZ2M04,BF,Peri
114,ExN-DEGLU-2,0.173159040069006,0.0317750508041935,493,2M,HZ2M04,BF,ExN
115,Olig-2,0.0826172428680978,0.0018574591192535,1762,2M,HZ2M04,BF,Olig
116,InN-Olf,2.5874530568184317,0.0048008666691052,16,2M,HZ2M04,ECT,InN
117,Olig-3,1.8414511802619475,0.0426168613874145,16,2M,HZ2M04,ECT,Olig
118,ExN-L6b,0.1154529753433072,0.0016227270108558,508,2M,HZ2M04,ECT,ExN
119,Olig-2,2.0657091689813463,0.0347523487601249,68,2M,HZ2M04,HPF,Olig
120,ExN-L5-ET,1.3894643860694178,0.0425747188916941,54,2M,HZ2M04,HPF,ExN
121,Peri,0.1831493877119268,3.019819961791942e-05,723,2M,HZ2M04,HPF,Peri
122,Endo,0.1321968960100436,0.0041484287800889,741,2M,HZ2M04,HPF,Endo
123,Astro-2,0.1311016435194682,0.0358701128756277,558,2M,HZ2M04,HPF,Astro
124,ExN-CA3,0.1061572353113396,1.171232141335863e-07,1376,2M,HZ2M04,HPF,ExN
125,ExN-CA2,0.1044576653615783,0.0017370399659574,1126,2M,HZ2M04,HPF,ExN
126,ExN-DG,0.0705378487070851,2.571667200333934e-06,2228,2M,HZ2M04,HPF,ExN
127,ExN-CA1,0.0451403311867871,0.002663297317299,2496,2M,HZ2M04,HPF,ExN
128,Olig-6,0.8505441106767034,0.0262890476063488,44,2M,HZ2M04,RS,Olig
129,ExN-L6-IT,0.5453992005716837,0.0176423184698281,88,2M,HZ2M04,RS,ExN
130,Astro-4,0.3723333455813735,1.6570144991888747e-05,263,2M,HZ2M04,RS,Astro
131,Micro-1,0.2444632964337137,0.0395054690106646,140,2M,HZ2M04,RS,Micro
132,ExN-L5-ET,0.2143833740287244,1.1012299644665036e-05,453,2M,HZ2M04,RS,ExN
133,Olig-3,0.2134025732054699,0.0254864383123731,184,2M,HZ2M04,RS,Olig
134,ExN-L5-IT,0.1959607926257865,2.815677486780201e-14,1144,2M,HZ2M04,RS,ExN
135,InN-Erbb4,0.3966813870785575,0.0474824994785976,109,2M,HZ2M04,TH,InN
136,Astro-1,0.2362281625904392,0.0208621472475954,265,2M,HZ2M04,TH,Astro
137,Astro-3,0.2350320286502252,0.0005159238678567,460,2M,HZ2M04,TH,Astro
138,ExN-DEGLU-2,0.185096407766898,4.218714342431679e-23,2348,2M,HZ2M04,TH,ExN
139,Peri,0.1845848356973542,1.5244839495629863e-09,1498,2M,HZ2M04,TH,Peri
140,Olig-2,0.1725979969713749,3.6747907990970945e-10,1699,2M,HZ2M04,TH,Olig
141,Olig-4,0.1649204933102276,8.265120033745752e-07,1374,2M,HZ2M04,TH,Olig
142,Endo,0.162886978022185,0.0004513802002564,988,2M,HZ2M04,TH,Endo
143,Olig-3,0.1425212420356609,0.0026550937158733,774,2M,HZ2M04,TH,Olig
144,InN-Calb2,0.1258893799474251,2.4428213256185827e-08,1429,2M,HZ2M04,TH,InN
145,ExN-DEGLU-1,0.1236087392132714,2.4055251773872994e-53,7598,2M,HZ2M04,TH,ExN
146,ExN-CA2,0.4345200486670073,0.0416130752993742,166,2M,HZ2M05,PFC,ExN
147,ExN-L2/3-IT,0.0923812523017448,0.0271912610189003,774,2M,HZ2M05,PFC,ExN
148,ExN-L5-ET,0.0725550638249096,0.0106414828058685,1345,2M,HZ2M05,PFC,ExN
149,ExN-L5-IT,0.0587612639932601,0.0209605992528411,1667,2M,HZ2M05,PFC,ExN
150,Astro-6,-0.3092658415544215,0.0313968166893553,62,2M,HZ2M05,PFC,Astro
151,ExN-DG,-0.3335948071614755,0.0321127906465583,272,2M,HZ2M05,PFC,ExN
152,InN-Sncg,0.9979769635091588,0.0360100414695558,47,2M,HZ2M05,STR,InN
153,ExN-CA2,0.3885484270250964,0.0201302915505757,322,2M,HZ2M05,STR,ExN
154,Astro-6,0.1808790245658033,0.0385534131922549,195,2M,HZ2M05,STR,Astro
155,Astro-2,0.1778832329536372,6.989274037296295e-06,847,2M,HZ2M05,STR,Astro
156,Peri,0.1681993630276511,1.3698970126905478e-06,1639,2M,HZ2M05,STR,Peri
157,InN-Olf,0.1300431158197569,4.987979633089042e-07,1859,2M,HZ2M05,STR,InN
158,InN-Calb2,0.0978086769708849,0.0315393230742062,613,2M,HZ2M05,STR,InN
159,Olig-2,0.0971576527462089,0.0001480904651317,1851,2M,HZ2M05,STR,Olig
160,Olig-4,0.0627150297521519,0.0010302819278515,3456,2M,HZ2M05,STR,Olig
161,MSN,0.0574136612220396,2.494133989878845e-09,7246,2M,HZ2M05,STR,MSN
162,InN-Sncg,2.2481452368883525,0.0011256049781956,59,2M,HZ2M06,BF,InN
163,Endo,0.585114076063651,0.0031076348947684,236,2M,HZ2M06,BF,Endo
164,Astro-6,0.3165375562270613,0.0001159464691222,203,2M,HZ2M06,BF,Astro
165,Peri,0.2526832051659575,9.549723056844025e-18,1970,2M,HZ2M06,BF,Peri
166,ExN-DEGLU-2,0.1880196252694112,0.0007689336039616,883,2M,HZ2M06,BF,ExN
167,InN-Calb2,0.098747966204277,1.2075727398478878e-15,5077,2M,HZ2M06,BF,InN
168,ExN-L5-IT,0.241515659069078,0.0009297267389883,249,2M,HZ2M06,ECT,ExN
169,ExN-L5-ET,1.7242581013877862,0.0107094579241553,34,2M,HZ2M06,HPF,ExN
170,InN-Pvalb,0.4972403878628275,0.014320286978683,109,2M,HZ2M06,HPF,InN
171,ExN-CA3,0.1586385192638909,2.6535420960204424e-10,1210,2M,HZ2M06,HPF,ExN
172,ExN-CA2,0.1263589630087288,0.0015159282926525,993,2M,HZ2M06,HPF,ExN
173,ExN-CA1,0.0758660398018161,0.0026168690610564,1264,2M,HZ2M06,HPF,ExN
174,Olig-6,0.9989052115936128,0.0092581988455641,39,2M,HZ2M06,RS,Olig
175,InN-Sncg,0.5097580601782,0.0089914489825616,134,2M,HZ2M06,RS,InN
176,SMC,0.4018558917059981,0.0257344296988094,58,2M,HZ2M06,RS,SMC
177,InN-Sst,0.317681360985525,0.0236759802310305,199,2M,HZ2M06,RS,InN
178,Astro-2,0.2574252198516094,0.0200291543181688,226,2M,HZ2M06,RS,Astro
179,ExN-L5-ET,0.2486404176429927,1.7941831124090695e-06,496,2M,HZ2M06,RS,ExN
180,Peri,0.2308659077358758,0.0305131349662326,228,2M,HZ2M06,RS,Peri
181,ExN-L5/6-NP,0.1573791013961546,0.0359747154626077,377,2M,HZ2M06,RS,ExN
182,ExN-L6-CT,0.1281401925433838,0.007146969015334,496,2M,HZ2M06,RS,ExN
183,InN-Erbb4,0.4043249923266174,0.0074389704584219,154,2M,HZ2M06,TH,InN
184,InN-Calb2,0.2229440151551406,1.0727502562987643e-08,887,2M,HZ2M06,TH,InN
185,Olig-2,0.1533497050051075,1.2157247127801412e-05,1364,2M,HZ2M06,TH,Olig
186,Astro-3,0.1454949517799421,0.0458228093257717,515,2M,HZ2M06,TH,Astro
187,Peri,0.0797513177240942,0.0085634472895772,1644,2M,HZ2M06,TH,Peri
188,ExN-DEGLU-2,0.0677337866360135,0.0012049464982949,2302,2M,HZ2M06,TH,ExN
189,ExN-DEGLU-1,0.0288190089134395,0.0012184641291393,7318,2M,HZ2M06,TH,ExN
190,InN-Sncg,0.1963204809933152,0.0204332916550638,353,3M,HZ3M01,BF,InN
191,InN-Erbb4,0.1336823156956214,0.0389368955818477,417,3M,HZ3M01,BF,InN
192,InN-Calb2,0.0705478358846899,2.2282680773824363e-06,2985,3M,HZ3M01,BF,InN
193,InN-Sncg,0.2400192962505377,0.0178825421480857,367,3M,HZ3M01,PFC,InN
194,Peri,0.2062401831716523,0.0025362472626471,488,3M,HZ3M01,PFC,Peri
195,InN-Sst,0.165573846799766,0.0020764717087308,660,3M,HZ3M01,PFC,InN
196,ExN-L2/3-IT,0.1220272764085605,0.0162267470510839,731,3M,HZ3M01,PFC,ExN
197,Olig-1,-1.0450682411880656,0.0060530230493755,67,3M,HZ3M01,PFC,Olig
198,InN-Olf,0.255454910150164,6.772982064063619e-32,2589,3M,HZ3M01,STR,InN
199,ExN-DG,0.2344996729794948,0.0027640353147437,609,3M,HZ3M01,STR,ExN
200,Peri,0.1553745227076055,7.468338386589645e-22,3871,3M,HZ3M01,STR,Peri
201,Olig-2,0.1151368226256042,0.0023316802297078,1403,3M,HZ3M01,STR,Olig
202,MSN,0.0258007682110859,0.0014896139041518,7405,3M,HZ3M01,STR,MSN
203,ExN-L6b,-0.1871728305573847,0.0390727969113412,465,3M,HZ3M01,STR,ExN
204,SMC,0.3325416014653511,1.5849444930537726e-05,197,3M,HZ3M02,BF,SMC
205,InN-Erbb4,0.3191362504459512,0.0047037935841898,271,3M,HZ3M02,BF,InN
206,Astro-1,0.2604264836518448,0.0049594552707596,268,3M,HZ3M02,BF,Astro
207,Peri,0.1922529012298783,4.926055061612143e-15,1947,3M,HZ3M02,BF,Peri
208,InN-Olf,0.1506093870050893,0.0164446520649286,714,3M,HZ3M02,BF,InN
209,Olig-3,0.1406157764620033,0.0193164704397414,706,3M,HZ3M02,BF,Olig
210,InN-Calb2,0.0493371065186409,2.7885905723178408e-05,4697,3M,HZ3M02,BF,InN
211,SMC,1.022135045912332,0.0009654560401372,33,3M,HZ3M02,ECT,SMC
212,Astro-2,0.314852118075505,0.0368795180490917,147,3M,HZ3M02,ECT,Astro
213,ExN-Olf,0.2237879620725325,9.435385309097934e-05,466,3M,HZ3M02,ECT,ExN
214,ExN-CA1,-0.8240369288476612,0.0311960532641678,77,3M,HZ3M02,ECT,ExN
215,Astro-1,0.1441202593774203,0.0003256579605914,764,3M,HZ3M02,HPF,Astro
216,ExN-CA2,0.1393547494054646,3.145644119241677e-05,1065,3M,HZ3M02,HPF,ExN
217,Peri,0.0712491100715611,0.0084617070630484,1304,3M,HZ3M02,HPF,Peri
218,ExN-CA3,0.0667704064926079,0.0104181591529632,1145,3M,HZ3M02,HPF,ExN
219,Astro-6,-0.3275221796027566,0.0106112913312262,144,3M,HZ3M02,HPF,Astro
220,InN-Pvalb,0.1379193357841628,0.0124771063643792,580,3M,HZ3M02,RS,InN
221,InN-Sst,0.7739107321813777,0.0049723465594942,132,3M,HZ3M02,TH,InN
222,Astro-3,0.3614317050241463,0.0196585049000818,156,3M,HZ3M02,TH,Astro
223,OPC-2,0.2595764413244787,0.0164769367770689,302,3M,HZ3M02,TH,OPC
224,Astro-4,0.2340891433363567,0.0325142206824959,232,3M,HZ3M02,TH,Astro
225,ExN-DEGLU-2,0.210778884458522,3.3255832120178836e-20,1933,3M,HZ3M02,TH,ExN
226,Olig-1,0.2038931998794973,0.0055326569358993,424,3M,HZ3M02,TH,Olig
227,InN-Calb2,0.2029250548320461,4.561635099293934e-07,1010,3M,HZ3M02,TH,InN
228,InN-Olf,0.193253194788312,0.0038358212588558,750,3M,HZ3M02,TH,InN
229,Peri,0.1660970752261169,8.102330154689542e-23,3151,3M,HZ3M02,TH,Peri
230,ExN-DEGLU-1,0.1617225919101378,2.498788184685601e-55,5331,3M,HZ3M02,TH,ExN
231,Olig-5,0.1302269689282582,0.0158181761645117,629,3M,HZ3M02,TH,Olig
232,Astro-2,0.1168840493268842,0.0027953898020537,653,3M,HZ3M02,TH,Astro
233,InN-Pvalb,0.1058789461563718,0.0047458504873197,1245,3M,HZ3M02,TH,InN
234,MSN,0.1044518460206473,0.0253788814391669,1090,3M,HZ3M02,TH,MSN
235,Olig-3,0.0742798775790124,0.0042922950732874,1977,3M,HZ3M02,TH,Olig
236,ExN-L5/6-NP,-0.9776913384586342,0.0288989422808591,121,3M,HZ3M02,TH,ExN
237,Peri,0.1179728487200043,4.7411260218276485e-07,2110,3M,HZ3M03,BF,Peri
238,InN-Calb2,0.0637895571601982,4.136583141244818e-06,3737,3M,HZ3M03,BF,InN
239,Olig-4,-0.5248012916532018,0.0409573091471874,71,3M,HZ3M03,BF,Olig
240,Endo,-0.7776659874647566,0.0429059213402289,82,3M,HZ3M03,BF,Endo
241,OPC-2,0.8716886343393695,0.0450684067558315,60,3M,HZ3M03,PFC,OPC
242,InN-Erbb4,0.3048760090839826,0.0096214444975156,282,3M,HZ3M03,PFC,InN
243,ExN-CA3,0.1615046310352829,0.0260876888771341,583,3M,HZ3M03,PFC,ExN
244,ExN-CA2,0.3808300317179512,3.558901628712498e-11,975,3M,HZ3M03,STR,ExN
245,InN-Olf,0.3726072158808988,1.3712872642873206e-68,2590,3M,HZ3M03,STR,InN
246,Peri,0.3152592131844274,1.833265850802557e-92,4461,3M,HZ3M03,STR,Peri
247,Endo,0.2687889335001084,0.0012135703573429,643,3M,HZ3M03,STR,Endo
248,Astro-5,0.2684702396790443,0.0024370372036312,336,3M,HZ3M03,STR,Astro
249,ExN-DG,0.2534807161456037,0.0001195102672509,955,3M,HZ3M03,STR,ExN
250,Astro-4,0.2519136166824109,0.0207341170415036,332,3M,HZ3M03,STR,Astro
251,ExN-CA1,0.2313552763624732,0.0214285675095469,605,3M,HZ3M03,STR,ExN
252,Astro-1,0.2177054140582165,3.94653022211321e-08,1365,3M,HZ3M03,STR,Astro
253,Astro-2,0.2053151882554468,0.0001327558665687,726,3M,HZ3M03,STR,Astro
254,Olig-1,0.203203671670176,0.003278368338784,647,3M,HZ3M03,STR,Olig
255,Micro-1,0.1931670568727603,0.0064890177212174,454,3M,HZ3M03,STR,Micro
256,ExN-DEGLU-1,0.1920806467007974,2.075868155547224e-05,1271,3M,HZ3M03,STR,ExN
257,Olig-2,0.1416485380800915,1.4142475984048582e-05,1766,3M,HZ3M03,STR,Olig
258,InN-Sst,0.1151730793849219,0.0346925633583754,718,3M,HZ3M03,STR,InN
259,MSN,0.0403185974534909,2.688758954176809e-09,10476,3M,HZ3M03,STR,MSN
260,ExN-DEGLU-1,0.5014354924308119,5.529252799608689e-05,235,3M,HZ3M04,BF,ExN
261,Endo,0.4956004774149813,0.044623161287311,163,3M,HZ3M04,BF,Endo
262,Astro-1,0.2414968648456834,0.0342766026325034,295,3M,HZ3M04,BF,Astro
263,ExN-DEGLU-2,0.2190830537175292,0.0014916826004504,590,3M,HZ3M04,BF,ExN
264,Olig-3,0.1586355276458761,0.0013656212096585,1067,3M,HZ3M04,BF,Olig
265,Peri,0.1508841108968562,1.8161714526630999e-12,2661,3M,HZ3M04,BF,Peri
266,InN-Calb2,0.1128808325122838,7.42446878019168e-18,4153,3M,HZ3M04,BF,InN
267,Astro-4,0.965905451423472,0.0004569492979548,34,3M,HZ3M04,ECT,Astro
268,ExN-L2/3-IT,0.5018758969443624,0.0027508529084908,147,3M,HZ3M04,ECT,ExN
269,Peri,0.2743094142228988,0.0035148513711913,203,3M,HZ3M04,ECT,Peri
270,InN-Sst,0.2068632656828992,0.0055352152674154,350,3M,HZ3M04,ECT,InN
271,OPC-1,0.8246367069670536,0.0013074217779599,108,3M,HZ3M04,HPF,OPC
272,ExN-DEGLU-2,0.6623489430112345,0.0067113532472263,75,3M,HZ3M04,HPF,ExN
273,InN-Sncg,0.2731673081322963,0.0365789004722733,189,3M,HZ3M04,HPF,InN
274,Astro-5,0.2089118346583312,0.0155454436229453,310,3M,HZ3M04,HPF,Astro
275,ExN-CA3,0.1695748198285054,8.572509668409557e-13,1395,3M,HZ3M04,HPF,ExN
276,ExN-CA2,0.1353681153552951,3.186408867034651e-07,1664,3M,HZ3M04,HPF,ExN
277,Micro-3,-0.1361568769948059,0.0384811467562148,346,3M,HZ3M04,HPF,Micro
278,ExN-L6-IT,-1.5905166208147337,0.0235768407116128,50,3M,HZ3M04,HPF,ExN
279,SMC,0.5932910067249545,0.032149997941803,56,3M,HZ3M04,RS,SMC
280,ExN-L6b,-0.6631980031306093,0.0382799225695528,93,3M,HZ3M04,RS,ExN
281,ExN-DG,0.9771183653356144,0.0148156438185628,79,3M,HZ3M04,TH,ExN
282,ExN-CA2,0.4491262983977302,0.0033357059252481,322,3M,HZ3M04,TH,ExN
283,Micro-1,0.4303078842176386,0.0013508731863382,175,3M,HZ3M04,TH,Micro
284,InN-Calb2,0.0806359020470936,0.0166046794099076,1271,3M,HZ3M04,TH,InN
285,ExN-DEGLU-1,0.037816373727163,0.000112588162883,6572,3M,HZ3M04,TH,ExN
286,SMC,0.5965020929556982,0.0090514861683573,120,3M,HZ3M05,BF,SMC
287,Olig-1,0.3523151681759266,0.0104878344446216,225,3M,HZ3M05,BF,Olig
288,InN-Calb2,0.2532149119185762,1.0675803708101963e-99,4637,3M,HZ3M05,BF,InN
289,Peri,0.2529928227673904,6.0518340401097345e-27,1967,3M,HZ3M05,BF,Peri
290,Astro-6,0.2109023227436911,0.0252920919443302,178,3M,HZ3M05,BF,Astro
291,ExN-DEGLU-1,0.1985341707848948,2.398252686767012e-05,1021,3M,HZ3M05,BF,ExN
292,Astro-2,0.1927509181556825,2.42262451179649e-08,615,3M,HZ3M05,BF,Astro
293,InN-Erbb4,0.1636786855358425,0.0145120112193236,379,3M,HZ3M05,BF,InN
294,ExN-DEGLU-2,0.1586832913571264,1.9430582050587029e-07,1636,3M,HZ3M05,BF,ExN
