fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Vip,-0.005308091024959401,0.3791854814826491,155,HZ12M03,PFC,HZ12M03_coorect_PFC
InN-Lamp5,-0.02083963464027712,0.3125739426094172,57,HZ12M03,PFC,HZ12M03_coorect_PFC
InN-Olf,-0.07437137557101232,0.12428809142628564,11,HZ12M03,PFC,HZ12M03_coorect_PFC
InN-Olf,0.002958737925789235,0.0,3199,HZ12M03,STR,HZ12M03_coorect_STR
InN-Sncg,0.0005636489788429254,2.8547986146538346e-16,567,HZ12M03,STR,HZ12M03_coorect_STR
InN-Sst,0.0005011661898205388,1.7974821236860626e-10,646,HZ12M03,STR,HZ12M03_coorect_STR
InN-Erbb4,-0.0008781887232178175,0.006897343567707645,586,HZ12M03,STR,HZ12M03_coorect_STR
InN-Calb2,-0.0011653321744344554,0.02503964893744728,487,HZ12M03,STR,HZ12M03_coorect_STR
InN-Pvalb,-0.003803741023791602,0.010477716364087888,132,HZ12M03,STR,HZ12M03_coorect_STR
InN-Lamp5,-0.004017749426322239,0.01856366677045819,145,HZ12M03,STR,HZ12M03_coorect_STR
InN-Vip,-0.012559677962297249,0.21443644582430987,58,HZ12M03,STR,HZ12M03_coorect_STR
InN-Olf,0.01094198715900387,0.0,721,HZ12M04,BF,HZ12M04_coorect_BF
InN-Calb2,0.010095161393486004,0.0,4576,HZ12M04,BF,HZ12M04_coorect_BF
InN-Erbb4,0.007774303838986593,0.0,940,HZ12M04,BF,HZ12M04_coorect_BF
InN-Sncg,0.004383052854198685,1.8382060008683398e-82,490,HZ12M04,BF,HZ12M04_coorect_BF
InN-Sst,0.0043401920969040044,4.9687449968828356e-27,261,HZ12M04,BF,HZ12M04_coorect_BF
InN-Lamp5,0.00209067345918933,7.865377099636205e-13,135,HZ12M04,BF,HZ12M04_coorect_BF
InN-Pvalb,-0.0004003928807098401,3.108064743675517e-05,284,HZ12M04,BF,HZ12M04_coorect_BF
InN-Vip,-0.0018916453776881763,1.1786639270913661e-05,37,HZ12M04,BF,HZ12M04_coorect_BF
InN-Sst,-0.0012531224923915951,0.006227472651663507,348,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Sncg,-0.0024013121880881606,0.21772161042730476,320,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Erbb4,-0.005177243413036894,0.05577584234421946,125,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Olf,-0.010725665781909808,0.7894219527504232,99,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Pvalb,-0.019074071801491226,0.26554291957460374,66,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Vip,-0.019779323886811803,0.7182771010719329,48,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Calb2,-0.03671579154424654,0.6180944360832074,31,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Lamp5,-0.06302855650085291,0.5016220024733079,19,HZ12M04,ECT,HZ12M04_coorect_ECT
InN-Sncg,-0.002472442786296516,0.29297389562127374,334,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Olf,-0.006617333073736024,0.03645493567462971,86,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Sst,-0.007548750941029176,0.7297171114792018,144,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Erbb4,-0.01113651538027609,0.6211009224991888,99,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Pvalb,-0.017275070890388655,0.6462494227952351,65,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Calb2,-0.024968996539895913,0.35682227174729586,51,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Vip,-0.04437752036978649,0.22225976338430808,18,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Lamp5,-0.04672249231654403,0.48484442243621717,25,HZ12M04,HPF,HZ12M04_coorect_HPF
InN-Pvalb,-0.0008596535113824643,0.0024379297083395304,588,HZ12M04,RS,HZ12M04_coorect_RS
InN-Sncg,-0.0015320497768759151,0.006828995499816425,374,HZ12M04,RS,HZ12M04_coorect_RS
InN-Erbb4,-0.0033090148002210325,0.2389238158554714,247,HZ12M04,RS,HZ12M04_coorect_RS
InN-Sst,-0.003862917843222835,0.9665855210289958,258,HZ12M04,RS,HZ12M04_coorect_RS
InN-Vip,-0.01421487459536231,0.8082696186130508,68,HZ12M04,RS,HZ12M04_coorect_RS
InN-Lamp5,-0.015729025726364376,0.0016488900407143133,29,HZ12M04,RS,HZ12M04_coorect_RS
InN-Olf,-0.023195605214839026,0.2715778165740361,36,HZ12M04,RS,HZ12M04_coorect_RS
InN-Calb2,-0.06297519034813091,0.4275113237716296,19,HZ12M04,RS,HZ12M04_coorect_RS
