,Moran's I,P-value,num_cell,sample_region,sample,region,month
OPC,0.027704783634227882,0.6937371159240437,493.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
OPC,0.26030924311472,0.03531517460338499,176.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
SMC,0.18663969551594278,5.572150764344071e-05,461.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Olig,0.13370540217496474,1.213353907238794e-09,852.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Astro,0.10296424188792128,2.214592604525679e-06,1349.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Micro,0.10265601518608684,0.0004935104863166511,606.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
ExN,0.10205801054698511,2.4404014513140174e-22,3607.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Peri,0.07129304546247202,0.27349070041092494,348.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
InN,0.06725054546128936,0.0022049506074809547,1434.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
MSN,0.05668965197961591,0.6878909644594031,147.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Endo,-0.03690752241202518,0.8334906767523405,165.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
OPC,0.6502898282120384,7.315298342675698e-11,182.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
Micro,0.5499656274513323,1.0454205978483395e-14,208.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
SMC,0.44742919131825654,1.554696220994884e-22,337.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
Astro,0.4281510184270104,5.235234132852497e-72,1086.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
Peri,0.34822609331629467,4.652797870790717e-06,240.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
ExN,0.34131872899069804,5.462800309642717e-08,306.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
InN,0.2763206726440178,1.7796617757582973e-08,318.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
Endo,0.22217131169760512,5.328457996745701e-06,356.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
MSN,0.19358340176215139,0.00010240735697208474,373.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
Olig,0.07767238916541089,0.04953820060798071,301.0,HZ12M02_Striatum,HZ12M02,Striatum,12M
MSN,0.3573742115703413,3.3955618428511974e-07,621.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
InN,0.3194626939145438,4.400817385594798e-200,5268.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
SMC,0.2772528806833758,2.9373239774563885e-26,2032.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
ExN,0.24298877836175384,5.321245905102963e-281,9715.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
Peri,0.1820047890358492,5.539499941556027e-10,1818.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
