celltype,Moran's I,P-value,num_cell,id,month
OPC,-0.0017382691087119105,0.0010763445112815773,247,HZ3M04_BF,3
Olig,0.015757613824300278,0.0,2654,HZ3M05_BF,3
InN,0.007953621834757963,0.0,6184,HZ3M05_BF,3
ExN,0.0046982350439244884,0.0,2764,HZ3M05_BF,3
Peri,0.002717397579213885,7.308905698971249e-173,1967,HZ3M05_BF,3
Astro,0.0004348133891268617,2.0426461301088658e-07,1340,HZ3M05_BF,3
InN,0.004758525316822858,0.0,7592,HZ3M06_BF,3
Peri,0.003777559713779865,0.0,3229,HZ3M06_BF,3
SMC,0.002678060711192447,2.0431466772553624e-06,203,HZ3M06_BF,3
Olig,0.0006820093505382079,2.330118162942883e-28,2996,HZ3M06_BF,3
Astro,0.0006765407812960016,9.88699539974396e-14,1430,HZ3M06_BF,3
ExN,0.0003509971323711592,2.6854313473385776e-16,1780,HZ3M06_BF,3
OPC,-0.00016310173950846545,4.441885112373858e-08,442,HZ3M06_BF,3
InN,0.006116704744604398,0.0,4469,HZ4M03_BF,4
Olig,0.0032525637657113424,0.0,3139,HZ4M03_BF,4
Peri,0.00311272868032356,8.113573280265039e-148,1688,HZ4M03_BF,4
SMC,0.002879263296275877,4.0789675778883646e-26,530,HZ4M03_BF,4
ExN,0.001832740818742338,7.548730396479781e-50,1537,HZ4M03_BF,4
Astro,0.0014328524324028473,1.494613793964979e-65,2617,HZ4M03_BF,4
Endo,0.001260291230656552,2.409377258839606e-07,501,HZ4M03_BF,4
Micro,-0.0004398622271827742,0.024142939217150928,829,HZ4M03_BF,4
OPC,-0.0008813379401179966,0.016481603111106392,466,HZ4M03_BF,4
Endo,0.03592606754423052,1.435703249489132e-103,142,HZ4M05_BF,4
InN,0.007206810163876349,0.0,1899,HZ4M05_BF,4
Peri,0.004153305727228127,1.0586498780952528e-125,764,HZ4M05_BF,4
ExN,0.0020249050280379665,1.5110036441048974e-24,505,HZ4M05_BF,4
Olig,0.0016901432511501635,3.2539854251840045e-69,1515,HZ4M05_BF,4
Astro,0.0003801611512030927,4.0351929408620146e-10,850,HZ4M05_BF,4
Micro,0.000290118798564098,1.7333784910186927e-05,364,HZ4M05_BF,4
SMC,-0.0009547771030225485,2.5581443513077414e-05,272,HZ4M05_BF,4
Olig,0.004906470030892428,0.0,3535,HZ4MP101_BF,4
SMC,0.004701121800632494,2.685826423240964e-79,556,HZ4MP101_BF,4
Astro,0.003529977944826344,0.0,2813,HZ4MP101_BF,4
ExN,0.003202156585810963,2.0957721278558128e-75,917,HZ4MP101_BF,4
Endo,0.002711274994822616,1.6091228189650369e-27,410,HZ4MP101_BF,4
InN,0.002488447743342958,0.0,4941,HZ4MP101_BF,4
Micro,0.0018469392418603802,4.066338866850479e-15,824,HZ4MP101_BF,4
Peri,0.0017527139718457227,6.996182072364675e-142,2151,HZ4MP101_BF,4
OPC,6.315397921815515e-07,2.8794035270561393e-06,495,HZ4MP101_BF,4
InN,0.011182500409616693,0.0,6971,HZ4MP102_BF,4
Micro,0.010713544523890376,5.280134806631277e-65,611,HZ4MP102_BF,4
Astro,0.009951978821846934,0.0,2065,HZ4MP102_BF,4
Peri,0.00862552269375015,0.0,1952,HZ4MP102_BF,4
SMC,0.006251292370865306,0.0,1174,HZ4MP102_BF,4
ExN,0.0053218744475795245,0.0,1192,HZ4MP102_BF,4
Olig,0.004805819959036016,0.0,3107,HZ4MP102_BF,4
Endo,0.004060514714023925,1.9736332204985693e-32,418,HZ4MP102_BF,4
OPC,0.0033817510590344662,6.885411603443704e-31,557,HZ4MP102_BF,4
InN,0.007250350995110478,0.0,7839,HZ4MP202_BF,4
Astro,0.005988284124303811,0.0,2231,HZ4MP202_BF,4
Micro,0.004895517173444896,2.388110015973991e-23,717,HZ4MP202_BF,4
Peri,0.0033230287718644686,4.8705802901023824e-241,2200,HZ4MP202_BF,4
OPC,0.002388532267636805,2.4388414920091732e-23,713,HZ4MP202_BF,4
