,Moran's I,P-value,num_cell,sample_region,sample,region,month,slice_no,slice,celltype,structure
ExN,0.08286675092364576,1.0229096816897228e-158,27933.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,ExN,Prefrontal cortex
Endo,0.07709302785268282,0.028866189700020844,1327.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,Endo,Prefrontal cortex
InN,0.069472098990083,3.035485220884474e-09,5353.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,InN,Prefrontal cortex
Olig,0.04905037164571469,0.0013665632254969496,2355.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,Olig,Prefrontal cortex
Micro,0.02938711667918811,0.0010009439765732411,5012.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,Micro,Prefrontal cortex
SMC,0.17855778242351947,2.3214263669984766e-20,2808.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,SMC,Striatum
Peri,0.11136429681139577,3.166798646561e-05,1724.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,Peri,Striatum
InN,0.09048871796394452,7.630056457582062e-17,5659.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,InN,Striatum
ExN,0.05665981724789487,1.0700342521108258e-12,8274.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,ExN,Striatum
Astro,0.05368840019025785,3.68158499883801e-17,9988.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,Astro,Striatum
Olig,0.03619631934505962,1.3048148939184797e-05,5296.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,Olig,Striatum
MSN,0.029693811773742612,3.413628066495644e-05,8367.0,HZ12M05_Striatum,HZ12M05,Striatum,12M,5,ctx,MSN,Striatum
Endo,0.7837098240043455,0.020284365964535516,22.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M,6,hippo,Endo,Entorhinal area
SMC,0.4076400919998293,0.00014801539380364265,85.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M,6,hippo,SMC,Entorhinal area
Astro,0.36885639065937614,2.163961233307471e-15,302.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M,6,hippo,Astro,Entorhinal area
ExN,0.05226774334637764,0.031873846230079335,787.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M,6,hippo,ExN,Entorhinal area
Peri,0.6673088918103758,1.1949792047838844e-27,379.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,Peri,Hippocampal formation
SMC,0.37854293582694126,2.4506215625773857e-11,327.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,SMC,Hippocampal formation
Olig,0.12192395189688594,0.0002731633243972471,481.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,Olig,Hippocampal formation
InN,0.11512449792841294,0.0016511331224673305,798.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,InN,Hippocampal formation
Astro,0.09814993790112508,6.108060871213085e-18,2947.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,Astro,Hippocampal formation
Micro,0.07743945585965965,0.0012079372898240652,943.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,Micro,Hippocampal formation
ExN,0.04580119402512985,1.7432952137426156e-22,10836.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M,6,hippo,ExN,Hippocampal formation
ExN,0.109644174237251,1.009977493768328e-21,3671.0,HZ12M06_Retrosplenial area,HZ12M06,Retrosplenial area,12M,6,hippo,ExN,Retrosplenial area
InN,0.10091150900234627,0.0002775633637896609,1148.0,HZ12M06_Retrosplenial area,HZ12M06,Retrosplenial area,12M,6,hippo,InN,Retrosplenial area
Olig,0.09727246205942387,1.248712666447902e-06,1042.0,HZ12M06_Retrosplenial area,HZ12M06,Retrosplenial area,12M,6,hippo,Olig,Retrosplenial area
ExN,0.12066022609995238,7.063527931340238e-11,1785.0,HZ12M06_Striatum,HZ12M06,Striatum,12M,6,hippo,ExN,Striatum
InN,0.11881321474720903,0.00034278872151799147,917.0,HZ12M06_Striatum,HZ12M06,Striatum,12M,6,hippo,InN,Striatum
Endo,0.10397088515993846,0.011799133885862989,581.0,HZ12M06_Striatum,HZ12M06,Striatum,12M,6,hippo,Endo,Striatum
MSN,0.10097129153518002,1.0510916181707525e-07,1632.0,HZ12M06_Striatum,HZ12M06,Striatum,12M,6,hippo,MSN,Striatum
SMC,0.1003172046630861,0.021844644138986364,461.0,HZ12M06_Striatum,HZ12M06,Striatum,12M,6,hippo,SMC,Striatum
Astro,0.0698320428527252,1.771382294048623e-05,1957.0,HZ12M06_Striatum,HZ12M06,Striatum,12M,6,hippo,Astro,Striatum
ExN,0.3236346719717232,0.0,10388.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,ExN,Thalamus
InN,0.29526376392235054,8.67415358249655e-138,4635.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,InN,Thalamus
SMC,0.2011962072082371,1.6787960509751988e-09,1279.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,SMC,Thalamus
Endo,0.15498295939406978,0.00014415632249464646,1165.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,Endo,Thalamus
Astro,0.13889853553244128,1.388472615270316e-110,9898.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,Astro,Thalamus
Peri,0.10297666432305239,0.00029771500979570704,1660.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,Peri,Thalamus
Micro,0.1023697049460604,7.82283261211312e-17,3426.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,Micro,Thalamus
OPC,0.09598593632801208,0.002562240787872248,1370.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,OPC,Thalamus
Olig,0.04751263618533393,0.00010385907477037226,3259.0,HZ12M06_Thalamus,HZ12M06,Thalamus,12M,6,hippo,Olig,Thalamus
